"","run","sv_x","sv_y","sv_z","nv_x","nv_y","nv_z","hp_x","hp_y","hp_z","sp_x","sp_y","sp_z","Collision_speed","X","Y","Z","head","inc","speed","rotation","lag","seal_length","seal_width"
"19",1902,0,1.81876218318939,0,1.86294972896576,0,8.71063423156738,-12.0897512435913,-0.400143712759018,-2.03953838348389,-12,0.0912576392292976,-2,9.09140377649449,-1,-12,-2,0,0,1.82,0.72780229725,0.17266,1.41,0.3
"20",1903,0,1.81876218318939,0,1.88868653774261,0,8.63706874847412,-12.0031032562256,0.013137680478394,-2.00310397148132,-12,0.727824628353119,-2,9.02629414047735,-1,-12,-2,0,0,1.82,0.72780229725,0.34532,1.41,0.3
"21",1909,0,1.81876218318939,0,6.62947082519531,0,-5.87922811508179,-12.0149879455566,0.0904970765113831,-2.09486794471741,-12,0.606573760509491,-2,9.04561226684627,-1,-12,-2,0,0,1.82,0.72780229725,1.38128,1.41,0.3
"22",1912,0,1.81876218318939,0,-8.44671821594238,0,-2.70150780677795,-12.0354318618774,0.0151134636253119,-2.03543305397034,-12,-0.424058377742767,-2,9.05279438282852,-1,-12,-2,0,0,1.82,0.72780229725,1.89926,1.41,0.3
"23",1917,0,1.81876218318939,0,6.63991832733154,0,-5.91411924362183,-12.0615797042847,0.466566145420074,-2.07577562332153,-12,0.606573760509491,-2,9.07596930221756,-1,-12,-2,0,0,1.82,0.72780229725,2.76256,1.41,0.3
"24",1918,0,1.81876218318939,0,1.89254426956177,0,8.63600635528564,-12.0028476715088,0.0114340856671333,-2.00284719467163,-12,0.727824628353119,-2,9.02608577294129,-1,-12,-2,0,0,1.82,0.72780229725,2.93522,1.41,0.3
"25",1923,0,1.81876218318939,0,1.89651846885681,0,8.63266658782959,-11.9997110366821,-0.0300489030778408,-2.00149464607239,-12,0.727824628353119,-2,9.02372495515399,-1,-12,-2,0,0,1.82,0.72780229725,3.79852,1.41,0.3
"26",1925,0,1.81876218318939,0,1.64648950099945,0,8.61117362976074,-11.8404922485352,-0.448013365268707,-2.32839822769165,-12,-0.211869388818741,-2,8.95383364018335,-1,-12,-2,0,0,1.82,0.72780229725,4.14384,1.41,0.3
"27",1927,0,1.81876218318939,0,1.88376104831696,0,8.72587108612061,-12.1180839538574,-0.153363436460495,-2.03097152709961,-12,0.0912576392292976,-2,9.11028401728732,-1,-12,-2,0,0,1.82,0.72780229725,4.48916,1.41,0.3
"28",1930,0,1.81876218318939,0,6.71115922927856,0,-5.86178922653198,-12.0546007156372,0.234934836626053,-2.2608904838562,-12,0.303446590900421,-2,9.09440082174377,-1,-12,-2,0,0,1.82,0.72780229725,5.00714,1.41,0.3
"29",1937,0,1.81876218318939,0,-8.36844635009766,0,-2.66635918617249,-11.9194211959839,-0.25800034403801,-2.01769733428955,-12,-0.424058377742767,-2,8.96929532563077,-1,-12,-2,0,0,1.82,0.72780229725,6.21576,1.41,0.3
"30",1938,0,1.81876218318939,0,1.90333890914917,0,8.63397693634033,-12.0032510757446,0.0141205238178372,-2.00325131416321,-12,0.727824628353119,-2,9.02641401863764,-1,-12,-2,0,0,1.82,0.72780229725,6.38842,1.41,0.3
"31",1943,0,1.81876218318939,0,1.91549134254456,0,8.63323497772217,-12.0086879730225,0.0483720675110817,-1.98649322986603,-12,0.727824628353119,-2,9.02827494369009,-1,-12,-2,0,0,1.82,0.72780229725,7.25172,1.41,0.3
"32",1946,0,1.81876218318939,0,6.71281719207764,0,-5.8616771697998,-12.0541610717773,0.248215883970261,-2.27198386192322,-12,0.303446590900421,-2,9.09555236416235,-1,-12,-2,0,0,1.82,0.72780229725,7.7697,1.41,0.3
"33",1955,0,1.81876218318939,0,5.50999736785889,0,-6.82977819442749,-12.034104347229,-0.023302499204874,-1.03410363197327,-12,0.485322892665863,-1,8.96179877534695,-1,-12,-1,0,0,1.82,0.72780229725,0.69064,1.41,0.3
"34",1964,0,1.81876218318939,0,-8.66822147369385,0,-1.29617667198181,-12.010835647583,0.768123805522919,-1.12828612327576,-12,-0.211869388818741,-1,8.95131450675113,-1,-12,-1,0,0,1.82,0.72780229725,2.24458,1.41,0.3
"35",1970,0,1.81876218318939,0,-8.68498039245605,0,-1.17583918571472,-12.0199928283691,0.0268053859472275,-1.01999235153198,-12,-0.514996528625488,-1,8.95094297359014,-1,-12,-1,0,0,1.82,0.72780229725,3.28054,1.41,0.3
"36",1971,0,1.81876218318939,0,5.44058465957642,0,-6.85820579528809,-12.0127573013306,-0.400448501110077,-0.9380002617836,-12,0.485322892665863,-1,8.94107636342719,-1,-12,-1,0,0,1.82,0.72780229725,3.4532,1.41,0.3
"37",1974,0,1.81876218318939,0,3.32776594161987,0,8.07474327087402,-12.0055074691772,-0.327610671520233,-0.61073112487793,-12,0.242821156978607,-1,8.92095281107283,-1,-12,-1,0,0,1.82,0.72780229725,3.97118,1.41,0.3
"38",1976,0,1.81876218318939,0,3.2603166103363,0,8.12738800048828,-12.0177211761475,1.15439510345459,-0.923946261405945,-12,-0.029993174597621,-1,8.94382446439335,-1,-12,-1,0,0,1.82,0.72780229725,4.3165,1.41,0.3
"39",1989,0,1.81876218318939,0,-8.6962833404541,0,-1.34750616550446,-12.0655708312988,-0.00332871079444885,-1.06557095050812,-12,-0.242182090878487,-1,8.98604541011325,-1,-12,-1,0,0,1.82,0.72780229725,6.56108,1.41,0.3
"40",1995,0,1.81876218318939,0,-8.70127964019775,0,-1.16365146636963,-12.0403728485107,-0.0951980650424957,-1.01631879806519,-12,-0.514996528625488,-1,8.96516846710734,-1,-12,-1,0,0,1.82,0.72780229725,7.59704,1.41,0.3
"41",1999,0,1.81876218318939,0,3.29304146766663,0,8.16066455841064,-12.0911722183228,-0.189417481422424,-0.71833461523056,-12,0.242821156978607,-1,8.98601474559618,-1,-12,-1,0,0,1.82,0.72780229725,8.28768,1.41,0.3
"42",2000,0,1.81876218318939,0,3.18810963630676,0,8.22683429718018,-12.0947456359863,0.019046476110816,-1.09337317943573,-12,-0.029993174597621,-1,9.00848159885639,-1,-12,-1,0,0,1.82,0.72780229725,8.46034,1.41,0.3
"43",2001,0,1.81876218318939,0,4.40509510040283,0,7.59551095962524,-12.0852746963501,-0.0200871713459492,-0.0841210708022118,-12,0.15188305079937,0,8.96685825560377,-1,-12,0,0,0,1.82,0.72780229725,0,1.41,0.3
"44",2002,0,1.81876218318939,0,4.54446649551392,0,7.45068168640137,-12.0100049972534,-0.203843146562576,0.235209405422211,-12,0.455010175704956,0,8.91474783533817,-1,-12,0,0,0,1.82,0.72780229725,0.17266,1.41,0.3
"45",2006,0,1.81876218318939,0,-8.7335319519043,0,0.152973100543022,-12.022481918335,0.494670450687408,-0.0876575633883476,-12,-0.333120226860046,0,8.9222126502699,-1,-12,0,0,0,1.82,0.72780229725,0.8633,1.41,0.3
"46",2012,0,1.81876218318939,0,-8.62601566314697,0,0.170045956969261,-11.8752765655518,0.0547850877046585,-0.00800113193690777,-12,-0.029993174597621,0,8.81731031806103,-1,-12,0,0,0,1.82,0.72780229725,1.89926,1.41,0.3
