X,Y,Z,head,inc,speed,flow,lag,seal_length,seal_width,run
-3,2.5,6,0,0,0.5,0.837758041,2.752,1.41,0.3,127165
-3,2.5,6,0,0,0.5,0.837758041,2.795,1.41,0.3,127166
-3,2.5,6,0,0,0.5,0.837758041,2.838,1.41,0.3,127167
-3,2.5,6,0,0,0.5,0.837758041,2.881,1.41,0.3,127168
-3,2.5,6,0,0,0.5,0.837758041,2.924,1.41,0.3,127169
-3,2.5,6,0,0,0.5,0.837758041,2.967,1.41,0.3,127170
-3,2.5,6,0,0,0.5,0.837758041,3.01,1.41,0.3,127171
-3,2.5,6,0,0,0.5,0.837758041,3.053,1.41,0.3,127172
-3,2.5,6,0,0,0.5,0.837758041,3.096,1.41,0.3,127173
-3,2.5,6,0,0,0.5,0.837758041,3.139,1.41,0.3,127174
-3,2.5,6,0,0,0.5,0.837758041,3.182,1.41,0.3,127175
-3,2.5,6,0,0,0.5,0.837758041,3.225,1.41,0.3,127176
-3,2.5,6,0,0,0.5,0.837758041,3.268,1.41,0.3,127177
-3,2.5,6,0,0,0.5,0.837758041,3.311,1.41,0.3,127178
-3,2.5,6,0,0,0.5,0.837758041,3.354,1.41,0.3,127179
-3,2.5,6,0,0,0.5,0.837758041,3.397,1.41,0.3,127180
-3,2.5,6,0,0,0.5,0.837758041,3.44,1.41,0.3,127181
-3,2.5,6,0,0,0.5,0.837758041,3.483,1.41,0.3,127182
-3,2.5,6,0,0,0.5,0.837758041,3.526,1.41,0.3,127183
-3,2.5,6,0,0,0.5,0.837758041,3.569,1.41,0.3,127184
-3,2.5,6,0,0,0.5,0.837758041,3.612,1.41,0.3,127185
-3,2.5,6,0,0,0.5,0.837758041,3.655,1.41,0.3,127186
-3,2.5,6,0,0,0.5,0.837758041,3.698,1.41,0.3,127187
-3,2.5,6,0,0,0.5,0.837758041,3.741,1.41,0.3,127188
-3,2.5,6,0,0,0.5,0.837758041,3.784,1.41,0.3,127189
-3,2.5,6,0,0,0.5,0.837758041,3.827,1.41,0.3,127190
-3,2.5,6,0,0,0.5,0.837758041,3.87,1.41,0.3,127191
-3,2.5,6,0,0,0.5,0.837758041,3.913,1.41,0.3,127192
-3,2.5,6,0,0,0.5,0.837758041,3.956,1.41,0.3,127193
-3,2.5,6,0,0,0.5,0.837758041,3.999,1.41,0.3,127194
