X,Y,Z,head,inc,speed,flow,lag,seal_length,seal_width,run
-3,-6.5,5,0,0,4,0.837758041,3.569,1.41,0.3,42384
-3,-6.5,5,0,0,4,0.837758041,3.612,1.41,0.3,42385
-3,-6.5,5,0,0,4,0.837758041,3.655,1.41,0.3,42386
-3,-6.5,5,0,0,4,0.837758041,3.698,1.41,0.3,42387
-3,-6.5,5,0,0,4,0.837758041,3.741,1.41,0.3,42388
-3,-6.5,5,0,0,4,0.837758041,3.784,1.41,0.3,42389
-3,-6.5,5,0,0,4,0.837758041,3.827,1.41,0.3,42390
-3,-6.5,5,0,0,4,0.837758041,3.87,1.41,0.3,42391
-3,-6.5,5,0,0,4,0.837758041,3.913,1.41,0.3,42392
-3,-6.5,5,0,0,4,0.837758041,3.956,1.41,0.3,42393
-3,-6.5,5,0,0,4,0.837758041,3.999,1.41,0.3,42394
-3,-6.5,5,0,0,4,0.837758041,4.042,1.41,0.3,42395
-3,-6.5,5,0,0,4,0.837758041,4.085,1.41,0.3,42396
-3,-6.5,5,0,0,4,0.837758041,4.128,1.41,0.3,42397
-3,-6.5,5,0,0,4,0.837758041,4.171,1.41,0.3,42398
-3,-6.5,5,0,0,4,0.837758041,4.214,1.41,0.3,42399
-3,-6.5,5,0,0,4,0.837758041,4.257,1.41,0.3,42400
-3,-6.5,5.5,0,0,4,0.837758041,0,1.41,0.3,42401
-3,-6.5,5.5,0,0,4,0.837758041,0.043,1.41,0.3,42402
-3,-6.5,5.5,0,0,4,0.837758041,0.086,1.41,0.3,42403
-3,-6.5,5.5,0,0,4,0.837758041,0.129,1.41,0.3,42404
-3,-6.5,5.5,0,0,4,0.837758041,0.172,1.41,0.3,42405
-3,-6.5,5.5,0,0,4,0.837758041,0.215,1.41,0.3,42406
-3,-6.5,5.5,0,0,4,0.837758041,0.258,1.41,0.3,42407
-3,-6.5,5.5,0,0,4,0.837758041,0.301,1.41,0.3,42408
-3,-6.5,5.5,0,0,4,0.837758041,0.344,1.41,0.3,42409
-3,-6.5,5.5,0,0,4,0.837758041,0.387,1.41,0.3,42410
-3,-6.5,5.5,0,0,4,0.837758041,0.43,1.41,0.3,42411
-3,-6.5,5.5,0,0,4,0.837758041,0.473,1.41,0.3,42412
-3,-6.5,5.5,0,0,4,0.837758041,0.516,1.41,0.3,42413
-3,-6.5,5.5,0,0,4,0.837758041,0.559,1.41,0.3,42414
-3,-6.5,5.5,0,0,4,0.837758041,0.602,1.41,0.3,42415
-3,-6.5,5.5,0,0,4,0.837758041,0.645,1.41,0.3,42416
-3,-6.5,5.5,0,0,4,0.837758041,0.688,1.41,0.3,42417
-3,-6.5,5.5,0,0,4,0.837758041,0.731,1.41,0.3,42418
-3,-6.5,5.5,0,0,4,0.837758041,0.774,1.41,0.3,42419
-3,-6.5,5.5,0,0,4,0.837758041,0.817,1.41,0.3,42420
-3,-6.5,5.5,0,0,4,0.837758041,0.86,1.41,0.3,42421
-3,-6.5,5.5,0,0,4,0.837758041,0.903,1.41,0.3,42422
-3,-6.5,5.5,0,0,4,0.837758041,0.946,1.41,0.3,42423
